"customer_id","first_name","last_name","payment_month"
524,"Jared","Ely","2"
1,"Mary","Smith","2"
2,"Patricia","Johnson","2"
3,"Linda","Williams","2"
4,"Barbara","Jones","2"
5,"Elizabeth","Brown","2"
6,"Jennifer","Davis","2"
7,"Maria","Miller","2"
8,"Susan","Wilson","2"
9,"Margaret","Moore","2"
10,"Dorothy","Taylor","2"
11,"Lisa","Anderson","2"
12,"Nancy","Thomas","2"
13,"Karen","Jackson","2"
14,"Betty","White","2"
15,"Helen","Harris","2"
16,"Sandra","Martin","2"
17,"Donna","Thompson","2"
18,"Carol","Garcia","2"
19,"Ruth","Martinez","2"
20,"Sharon","Robinson","2"
21,"Michelle","Clark","2"
22,"Laura","Rodriguez","2"
23,"Sarah","Lewis","2"
24,"Kimberly","Lee","2"
25,"Deborah","Walker","2"
26,"Jessica","Hall","2"
27,"Shirley","Allen","2"
28,"Cynthia","Young","2"
29,"Angela","Hernandez","2"
30,"Melissa","King","2"
31,"Brenda","Wright","2"
32,"Amy","Lopez","2"
33,"Anna","Hill","2"
34,"Rebecca","Scott","2"
35,"Virginia","Green","2"
36,"Kathleen","Adams","2"
37,"Pamela","Baker","2"
38,"Martha","Gonzalez","2"
39,"Debra","Nelson","2"
40,"Amanda","Carter","2"
41,"Stephanie","Mitchell","2"
42,"Carolyn","Perez","2"
43,"Christine","Roberts","2"
44,"Marie","Turner","2"
45,"Janet","Phillips","2"
46,"Catherine","Campbell","2"
47,"Frances","Parker","2"
48,"Ann","Evans","2"
49,"Joyce","Edwards","2"
50,"Diane","Collins","2"
51,"Alice","Stewart","2"
52,"Julie","Sanchez","2"
53,"Heather","Morris","2"
54,"Teresa","Rogers","2"
55,"Doris","Reed","2"
56,"Gloria","Cook","2"
57,"Evelyn","Morgan","2"
58,"Jean","Bell","2"
59,"Cheryl","Murphy","2"
60,"Mildred","Bailey","2"
61,"Katherine","Rivera","2"
62,"Joan","Cooper","2"
63,"Ashley","Richardson","2"
64,"Judith","Cox","2"
65,"Rose","Howard","2"
66,"Janice","Ward","2"
67,"Kelly","Torres","2"
68,"Nicole","Peterson","2"
69,"Judy","Gray","2"
70,"Christina","Ramirez","2"
71,"Kathy","James","2"
72,"Theresa","Watson","2"
73,"Beverly","Brooks","2"
74,"Denise","Kelly","2"
75,"Tammy","Sanders","2"
76,"Irene","Price","2"
77,"Jane","Bennett","2"
78,"Lori","Wood","2"
79,"Rachel","Barnes","2"
80,"Marilyn","Ross","2"
81,"Andrea","Henderson","2"
82,"Kathryn","Coleman","2"
83,"Louise","Jenkins","2"
84,"Sara","Perry","2"
85,"Anne","Powell","2"
86,"Jacqueline","Long","2"
87,"Wanda","Patterson","2"
88,"Bonnie","Hughes","2"
89,"Julia","Flores","2"
90,"Ruby","Washington","2"
91,"Lois","Butler","2"
92,"Tina","Simmons","2"
93,"Phyllis","Foster","2"
94,"Norma","Gonzales","2"
95,"Paula","Bryant","2"
96,"Diana","Alexander","2"
97,"Annie","Russell","2"
98,"Lillian","Griffin","2"
99,"Emily","Diaz","2"
100,"Robin","Hayes","2"
101,"Peggy","Myers","2"
102,"Crystal","Ford","2"
103,"Gladys","Hamilton","2"
104,"Rita","Graham","2"
105,"Dawn","Sullivan","2"
106,"Connie","Wallace","2"
107,"Florence","Woods","2"
108,"Tracy","Cole","2"
109,"Edna","West","2"
110,"Tiffany","Jordan","2"
111,"Carmen","Owens","2"
112,"Rosa","Reynolds","2"
113,"Cindy","Fisher","2"
114,"Grace","Ellis","2"
115,"Wendy","Harrison","2"
116,"Victoria","Gibson","2"
117,"Edith","Mcdonald","2"
118,"Kim","Cruz","2"
119,"Sherry","Marshall","2"
120,"Sylvia","Ortiz","2"
121,"Josephine","Gomez","2"
122,"Thelma","Murray","2"
123,"Shannon","Freeman","2"
124,"Sheila","Wells","2"
125,"Ethel","Webb","2"
126,"Ellen","Simpson","2"
127,"Elaine","Stevens","2"
128,"Marjorie","Tucker","2"
129,"Carrie","Porter","2"
130,"Charlotte","Hunter","2"
131,"Monica","Hicks","2"
132,"Esther","Crawford","2"
133,"Pauline","Henry","2"
134,"Emma","Boyd","2"
135,"Juanita","Mason","2"
136,"Anita","Morales","2"
137,"Rhonda","Kennedy","2"
138,"Hazel","Warren","2"
139,"Amber","Dixon","2"
140,"Eva","Ramos","2"
141,"Debbie","Reyes","2"
142,"April","Burns","2"
143,"Leslie","Gordon","2"
144,"Clara","Shaw","2"
145,"Lucille","Holmes","2"
146,"Jamie","Rice","2"
147,"Joanne","Robertson","2"
148,"Eleanor","Hunt","2"
149,"Valerie","Black","2"
150,"Danielle","Daniels","2"
151,"Megan","Palmer","2"
152,"Alicia","Mills","2"
153,"Suzanne","Nichols","2"
154,"Michele","Grant","2"
155,"Gail","Knight","2"
156,"Bertha","Ferguson","2"
157,"Darlene","Rose","2"
158,"Veronica","Stone","2"
159,"Jill","Hawkins","2"
160,"Erin","Dunn","2"
161,"Geraldine","Perkins","2"
162,"Lauren","Hudson","2"
163,"Cathy","Spencer","2"
164,"Joann","Gardner","2"
165,"Lorraine","Stephens","2"
166,"Lynn","Payne","2"
167,"Sally","Pierce","2"
168,"Regina","Berry","2"
169,"Erica","Matthews","2"
170,"Beatrice","Arnold","2"
171,"Dolores","Wagner","2"
172,"Bernice","Willis","2"
173,"Audrey","Ray","2"
174,"Yvonne","Watkins","2"
175,"Annette","Olson","2"
176,"June","Carroll","2"
177,"Samantha","Duncan","2"
178,"Marion","Snyder","2"
179,"Dana","Hart","2"
180,"Stacy","Cunningham","2"
181,"Ana","Bradley","2"
182,"Renee","Lane","2"
183,"Ida","Andrews","2"
184,"Vivian","Ruiz","2"
185,"Roberta","Harper","2"
186,"Holly","Fox","2"
187,"Brittany","Riley","2"
188,"Melanie","Armstrong","2"
189,"Loretta","Carpenter","2"
190,"Yolanda","Weaver","2"
191,"Jeanette","Greene","2"
192,"Laurie","Lawrence","2"
193,"Katie","Elliott","2"
194,"Kristen","Chavez","2"
195,"Vanessa","Sims","2"
196,"Alma","Austin","2"
197,"Sue","Peters","2"
198,"Elsie","Kelley","2"
199,"Beth","Franklin","2"
200,"Jeanne","Lawson","2"
201,"Vicki","Fields","2"
202,"Carla","Gutierrez","2"
203,"Tara","Ryan","2"
204,"Rosemary","Schmidt","2"
205,"Eileen","Carr","2"
206,"Terri","Vasquez","2"
207,"Gertrude","Castillo","2"
208,"Lucy","Wheeler","2"
209,"Tonya","Chapman","2"
210,"Ella","Oliver","2"
211,"Stacey","Montgomery","2"
212,"Wilma","Richards","2"
213,"Gina","Williamson","2"
214,"Kristin","Johnston","2"
215,"Jessie","Banks","2"
216,"Natalie","Meyer","2"
217,"Agnes","Bishop","2"
218,"Vera","Mccoy","2"
219,"Willie","Howell","2"
220,"Charlene","Alvarez","2"
221,"Bessie","Morrison","2"
222,"Delores","Hansen","2"
223,"Melinda","Fernandez","2"
224,"Pearl","Garza","2"
225,"Arlene","Harvey","2"
226,"Maureen","Little","2"
227,"Colleen","Burton","2"
228,"Allison","Stanley","2"
229,"Tamara","Nguyen","2"
230,"Joy","George","2"
231,"Georgia","Jacobs","2"
232,"Constance","Reid","2"
233,"Lillie","Kim","2"
234,"Claudia","Fuller","2"
235,"Jackie","Lynch","2"
236,"Marcia","Dean","2"
237,"Tanya","Gilbert","2"
238,"Nellie","Garrett","2"
239,"Minnie","Romero","2"
240,"Marlene","Welch","2"
241,"Heidi","Larson","2"
242,"Glenda","Frazier","2"
243,"Lydia","Burke","2"
244,"Viola","Hanson","2"
245,"Courtney","Day","2"
246,"Marian","Mendoza","2"
247,"Stella","Moreno","2"
248,"Caroline","Bowman","2"
249,"Dora","Medina","2"
250,"Jo","Fowler","2"
251,"Vickie","Brewer","2"
252,"Mattie","Hoffman","2"
253,"Terry","Carlson","2"
254,"Maxine","Silva","2"
255,"Irma","Pearson","2"
256,"Mabel","Holland","2"
257,"Marsha","Douglas","2"
258,"Myrtle","Fleming","2"
259,"Lena","Jensen","2"
260,"Christy","Vargas","2"
261,"Deanna","Byrd","2"
262,"Patsy","Davidson","2"
263,"Hilda","Hopkins","2"
264,"Gwendolyn","May","2"
265,"Jennie","Terry","2"
266,"Nora","Herrera","2"
267,"Margie","Wade","2"
268,"Nina","Soto","2"
269,"Cassandra","Walters","2"
270,"Leah","Curtis","2"
271,"Penny","Neal","2"
272,"Kay","Caldwell","2"
273,"Priscilla","Lowe","2"
274,"Naomi","Jennings","2"
275,"Carole","Barnett","2"
276,"Brandy","Graves","2"
277,"Olga","Jimenez","2"
278,"Billie","Horton","2"
279,"Dianne","Shelton","2"
280,"Tracey","Barrett","2"
281,"Leona","Obrien","2"
282,"Jenny","Castro","2"
283,"Felicia","Sutton","2"
284,"Sonia","Gregory","2"
285,"Miriam","Mckinney","2"
286,"Velma","Lucas","2"
